npn,municipio,direccion,ficha
050880100110600010031901300553,BELLO,CR 43 N 25-35 AP 3007 PI 30 TO 1,400118828
050880100110600010031901310567,BELLO,CR 43 N 25-35 AP 3110 PI 31 TO 1,400118842
050880100110600010031901320575,BELLO,CR 43 N 25-35 AP 3207 PI 32 TO 1,400118850
050880100110600010031901320576,BELLO,CR 43 N 25-35 AP 3208 PI 32 TO 1,400118851
050880100110600010031901330587,BELLO,CR 43 N 25-35 AP 3308 PI 33 TO 1,400118862
050880100110600010031901340594,BELLO,CR 43 N 25-35 AP 3404 PI 34 TO 1,400118869
050880100110600010031901340599,BELLO,CR 43 N 25-35 AP 3409 PI 34 TO 1,400118874
050880100110600010031901340600,BELLO,CR 43 N 25-35 AP 3410 PI 34 TO 1,400118875
050880100110600010031901340601,BELLO,CR 43 N 25-35 AP 3411 PI 34 TO 1,400118876
050880100110600020006000000000,BELLO,CL 26 N 42-109 LT,3325899
050880100110600040007000000000,BELLO,CL 26 N 100-115,3200024
050880100110600040007000000000,BELLO,CL 26 N 100-115,3200024
050880100110600040007000000000,BELLO,CL 26 N 100-115,3200024
050880100110600040015901010005,BELLO,CR 45 N 26-162 PI 1 AP 145 ED 6,3323941
050880100110600040015901010317,BELLO,CR 45 N 26-162 PA 1009 ED 1,3339499
050880100110600040015901010324,BELLO,CR 45 N 26-162 PA 1015 ED 1,3339506
050880100110600040015901010328,BELLO,CR 45 N 26-162 PA 1019 ED 1,3339510
050880100110600040015901010502,BELLO,CR 45 N 26-162 PA 3011 ED 1,3339684
050880100110600040015901010620,BELLO,CR 45 N 26-162 PA 4039 ED 1,3339802
050880100110600040015901010640,BELLO,CR 45 N 26-162 PA 4060 ED 1,3339822
050880100110600040015901010645,BELLO,CR 45 N 26-162 PA 4065 ED 1,3339827
050880100110600040015901010677,BELLO,CR 45 N 26-162 AP 105 ED 1,3339859
050880100110600040015901010679,BELLO,CR 45 N 26-162 AP 107 ED 1,3339861
050790001000000010090000000000,BARBOSA,LA JULIANA,3007507
050790001000000010091000000000,BARBOSA,LA ESPERANZA,3007508
050790001000000010092000000000,BARBOSA,S.N.,3007509
050790001000000010092000000000,BARBOSA,S.N.,3007509
050790001000000010093000000000,BARBOSA,LA MELISA,3007510
050790001000000010093000000000,BARBOSA,LA MELISA,3007510
050790001000000010093000000000,BARBOSA,LA MELISA,3007510
050790001000000010095000000000,BARBOSA,SAN ANTONIO,3007512
050790001000000010095000000000,BARBOSA,SAN ANTONIO,3007512
050790001000000010096000000000,BARBOSA,CHAPA ALTA,3007513
050790001000000010098000000000,BARBOSA,S.N.,3007515
050790001000000010100000000000,BARBOSA,S.N.,3007517
050790001000000010101000000000,BARBOSA,S.N.,3007518
050790001000000010101000000000,BARBOSA,S.N.,3007518
050790001000000010101000000000,BARBOSA,S.N.,3007518
050790001000000010101000000000,BARBOSA,S.N.,3007518
050790001000000010101000000000,BARBOSA,S.N.,3007518
050790001000000010101000000000,BARBOSA,S.N.,3007518
050790001000000010102000000000,BARBOSA,C.E.R LA CHAPA ALTA,3007519
050790001000000010102000000000,BARBOSA,C.E.R LA CHAPA ALTA,3007519
050790001000000010102000000000,BARBOSA,C.E.R LA CHAPA ALTA,3007519
050790001000000010102000000000,BARBOSA,C.E.R LA CHAPA ALTA,3007519
050790001000000010102000000000,BARBOSA,C.E.R LA CHAPA ALTA,3007519
050790001000000160008000000000,BARBOSA,EL TUNERO,3005704
050790001000000010104000000000,BARBOSA,S.N.,3007521
050790001000000010105000000000,BARBOSA,S.N.,3007522
050790001000000010108000000000,BARBOSA,S.N.,3007525
050790001000000010109000000000,BARBOSA,EL CEDRO,3007526
050790001000000010109000000000,BARBOSA,EL CEDRO,3007526
050790001000000010112000000000,BARBOSA,S.N.,3007529
050880100100400180010000000000,BELLO,NULL,NULL
050790001000000140115000000000,BARBOSA,LA FINCA DE FABIO,3005611
050790001000000140115000000000,BARBOSA,LA FINCA DE FABIO,3005611
050790001000000010114000000000,BARBOSA,S.N.,3007531
050790001000000010114000000000,BARBOSA,S.N.,3007531
050790001000000010114000000000,BARBOSA,S.N.,3007531
050790001000000010114000000000,BARBOSA,S.N.,3007531
050790001000000010115000000000,BARBOSA,S.N.,3007534
050790001000000010115000000000,BARBOSA,S.N.,3007534
050790001000000010117000000000,BARBOSA,S.N.,3007536
050790001000000170043000000000,BARBOSA,S.N.,3005138
050790001000000010118000000000,BARBOSA,EL GUADUAL,3007537
050790001000000010118000000000,BARBOSA,EL GUADUAL,3007537
050790001000000010120000000000,BARBOSA,S.N.,3007539
050790001000000010121000000000,BARBOSA,S.N.,3007540
050790001000000010122000000000,BARBOSA,S.N.,3007541
050790001000000010123000000000,BARBOSA,EL CEDRO,3007542
050790001000000010123000000000,BARBOSA,EL CEDRO,3007542
050790001000000010127000000000,BARBOSA,S.N.,3007546
050790001000000150007000000000,BARBOSA,S.N,3010697
050790001000000150050000000000,BARBOSA,S.N,3010741
050790001000000010130000000000,BARBOSA,LA ESPERANZA,3007551
050790001000000010130000000000,BARBOSA,LA ESPERANZA,3007551
050790001000000010130000000000,BARBOSA,LA ESPERANZA,3007551
050790001000000010130000000000,BARBOSA,LA ESPERANZA,3007551
050790001000000010130000000000,BARBOSA,LA ESPERANZA,3007551
050790001000000010131000000000,BARBOSA,S.N.,3007552
050790001000000010133000000000,BARBOSA,S.N..,3007554
050790001000000010134000000000,BARBOSA,S.N.,3007555
050790001000000010134000000000,BARBOSA,S.N.,3007555
050790001000000010134000000000,BARBOSA,S.N.,3007555
050790001000000010134000000000,BARBOSA,S.N.,3007555
050790001000000010134000000000,BARBOSA,S.N.,3007555
050790001000000010136000000000,BARBOSA,LOS LAURELES,3007557
050790001000000010136000000000,BARBOSA,LOS LAURELES,3007557
050880100110600040015901010885,BELLO,CR 45 N 26-162 PA 190,159233
050880100110600040015901010894,BELLO,CR 45 N 26-162 AP 110 ED 2,159242
050880100110600040015901011045,BELLO,CR 45 N 26-162 PA 109,159393
050880100110600040015901011240,BELLO,CR 45 N 26-162 PA 5019,159588
050880100110600040015901011276,BELLO,CR 45 N 26-162 PA 5055,159624
050880100110600040015901011285,BELLO,CR 45 N 26-162 PA 5064,159633
050880100110600040015901011308,BELLO,CR 45 N 26-162 PA 5088,159656
050880100110600040015901011310,BELLO,CR 45 N 26-162 PA 5090,159658
050880100110600040015901011332,BELLO,CR 45 N 26-162 PA 6021,159680
050880100110600040015901011346,BELLO,CR 45 N 26-162 PA 6036,159694
050880100110600040015901011365,BELLO,CR 45 N 26-162 PA 6055,159713
050880100110600040015901011372,BELLO,CR 45 N 26-162 PA 6062,159720
050880100110600040015901011374,BELLO,CR 45 N 26-162 PA 6064,159722
050880100110600040015901011386,BELLO,CR 45 N 26-162 PA 6076,159734
050880100110600040015901011418,BELLO,CR 45 N 26-162 PA 175,13198932
050880100110600040015901011426,BELLO,CR 45 N 26-162 AP 127 ED 4,13198948
050880100110600040015901020013,BELLO,CR 45 N 26-162 PI 2 AP 245 ED 6,3324013
050880100110600040015901020908,BELLO,CR 45 N 26-162 AP 216 ED 2,159256
050880100110600040015901021061,BELLO,CR 45 N 26-162 AP 219 ED 3,159409
050880100110600040015901030695,BELLO,CR 45 N 26-162 AP 307 ED 1,3339877
050880100110600040015901011350,BELLO,CR 45 N 26-162 PA 6040,159698
050790001000000010136000000000,BARBOSA,LOS LAURELES,3007557
050880100110600040015901040921,BELLO,CR 45 N 26-162 AP 413 ED 2,159269
